Date,Day,Users,Cum U,Queries,Cum Q,SC Q,Clicks,Cum C,SC C,Cum SC C,EPC,Revenue,Cum R,Sales,Cum S,Action,Cum A,Cum UU,Un U A,Cum UA,CS Sig,Users2,Cum U2,Queries2,Cum Q2,SC Q2,Clicks2,Cum C2,SC C2,Cum SC C2,EPC2,Revenue2,Cum R2,Sales2,Cum S2,Action2,Cum A2,Cum UU2,Un U A2,Cum UA2,CS Sig2,Sales D,% Impr,Imrp Sig,Act D,UA D
42005,1,7,7,7,7,10,2,2,2,2,0,0,0,0,0,0,0,,,,0,13,13,9,9,21,1,1,0,0,0,0,0,0,0,0,0,,,,0,0,,,0,
42006,2,10,17,25,32,12,3,5,3,5,0,0,0,0,0,0,0,,,,0,8,21,5,14,8,2,3,2,2,0,0,0,0,0,0,0,,,,0,0,,,0,
42007,3,12,29,14,46,12,6,11,6,11,0,0,0,0,0,0,0,,,,0,9,30,13,27,11,3,6,3,5,0,0,0,0,0,0,0,,,,0,0,,,0,
42008,4,8,37,8,54,10,1,12,1,12,0,0,0,0,0,0,0,,,,0,10,40,12,39,13,1,7,0,5,0,0,0,0,0,0,0,,,,0,0,,,0,
42009,5,5,42,6,60,5,1,13,1,13,0,0,0,0,0,0,0,,,,0,12,52,17,56,15,0,7,0,5,0,0,0,0,0,0,0,,,,0,0,,,0,
42010,6,11,53,20,80,15,1,14,0,13,0,0,0,0,0,0,0,,,,0,8,60,29,85,23,0,7,0,5,0,0,0,0,0,0,0,,,,0,0,,,0,
42011,7,9,62,7,87,9,2,16,2,15,0,0,0,0,0,0,0,,,,0,12,72,27,112,15,4,11,3,8,0,0,0,0,0,0,0,,,,0,0,,,0,
42012,8,18,80,30,117,21,9,25,6,21,0,0,0,0,0,0,0,,,,0,25,97,71,183,31,16,27,16,24,0,0,0,0,0,0,0,,,,0,0,,,0,
42013,9,23,103,91,208,27,8,33,8,29,0,0,0,0,0,0,0,,,,0,34,131,141,324,44,15,42,14,38,0.592,162.01,162.01,2,2,2,2,,,,1.409841949,2,,,2,
42014,10,11,114,30,238,14,5,38,5,34,0,0,0,0,0,0,0,,,,0,12,143,20,344,12,1,43,1,39,0,0,162.01,0,2,0,2,,,,1.410096484,2,,,2,
42015,11,11,125,29,267,11,3,41,3,37,0,0,0,0,0,0,0,,,,0,13,156,10,354,13,1,44,1,40,0,0,162.01,0,2,0,2,,,,1.41021295,2,,,2,
42016,12,28,153,136,403,38,14,55,12,49,0,0,0,0,0,0,0,,,,0,26,182,80,434,37,11,55,10,50,0,0,162.01,0,2,0,2,,,,1.410951243,2,,,2,
42017,13,43,196,99,502,68,22,77,22,71,0.18,39.99,39.99,1,1,1,1,,,,0.999003488,35,217,132,566,43,27,82,27,77,0.166667,31.67,193.68,1,3,1,3,,,,1.727454468,2,,,2,
42018,14,48,244,116,618,61,24,101,29,100,0,0,39.99,0,1,0,1,,,,0.999190611,36,253,73,639,46,15,97,37,114,0,0,193.68,0,3,0,3,,,,1.727980177,2,,,2,
42019,15,36,280,65,683,44,24,125,15,115,0.743333,135.99,175.98,1,2,1,2,,,,1.412141453,32,285,60,699,47,19,116,18,132,0,0,193.68,0,3,0,3,,,,1.728329964,1,,,1,
42020,16,42,322,95,778,67,16,141,18,133,0,0,175.98,0,2,0,2,,,,1.412394637,47,332,150,849,68,31,147,27,159,0,0,193.68,0,3,0,3,,,,1.728987939,1,,,1,
42021,17,55,377,82,860,68,25,166,22,155,0,0,175.98,0,2,0,2,,,,1.412568171,55,387,115,964,71,20,167,16,175,0.2535,57.99,251.67,1,4,1,4,,,,1.995846309,2,,,2,
42022,18,83,460,172,1032,103,37,203,34,189,0,0,175.98,0,2,1,3,,,,1.412842536,53,440,70,1034,63,29,196,19,194,0.064828,41.51,293.18,1,5,1,5,,,,2.230655072,3,1.5,1.4603776,2,
42023,19,68,528,101,1133,83,22,225,17,206,0.236818,35.23,211.21,2,4,2,5,,,,1.996466428,75,515,195,1229,102,27,223,25,219,0,0,293.18,0,5,0,5,,,,2.23151479,1,0.25,1.5747736,0,
42024,20,62,590,190,1323,88,12,237,6,212,0,0,211.21,0,4,0,5,,,,1.99697428,61,576,148,1377,76,27,250,25,244,0,0,293.18,0,5,0,5,,,,2.232004612,1,0.25,1.5364925,0,
42025,21,70,660,130,1453,90,16,253,13,225,0,0,211.21,0,4,1,6,,,,1.997245178,78,654,162,1539,107,27,277,22,266,1.403333,285.28,578.46,3,8,3,8,,,,2.821066209,4,1,1.5556515,2,
42026,22,61,721,92,1545,85,22,275,17,242,0.046818,8.7,219.91,1,5,1,7,,,,2.232446812,47,701,154,1693,59,22,299,19,285,0.182273,22.97,601.43,2,10,2,10,,,,3.152924556,5,1,1.5716826,3,
42027,23,57,778,123,1668,69,26,301,28,270,0,0,219.91,0,5,0,7,,,,2.232714041,49,750,97,1790,77,14,313,10,295,0,0,601.43,0,10,1,11,,,,3.153432111,5,1,1.5111317,4,
42028,24,55,833,158,1826,72,41,342,27,297,0,0,219.91,0,5,0,7,,,,2.23300445,54,804,112,1902,72,17,330,8,303,0,0,601.43,0,10,0,11,,,,3.153953672,5,1,1.4882783,4,
42029,25,74,907,109,1935,88,42,384,41,338,0,0,219.91,0,5,0,7,,,,2.233177132,76,880,128,2030,94,22,352,15,318,0.089091,34.99,636.42,1,11,1,12,,,,3.307626655,6,1.2,1.4049124,5,
42030,26,75,982,206,2141,92,36,420,26,364,0,0,219.91,0,5,0,7,,,,2.233455442,71,951,140,2170,94,24,376,22,340,0,0,636.42,0,11,0,12,,,,3.308207918,6,1.2,1.2627675,5,
42031,27,84,1066,132,2273,101,25,445,22,386,0,0,219.91,0,5,0,7,,,,2.233607244,81,1032,134,2304,108,24,400,22,362,0.006667,2.61,639.03,1,12,1,13,,,,3.45506874,7,1.4,1.3026086,6,
42032,28,73,1139,180,2453,100,61,506,52,438,0,0,219.91,0,5,1,8,,,,2.233787904,84,1116,143,2447,100,36,436,27,389,0.049167,32.99,672.02,2,14,2,15,,,,3.730938477,9,1.8,1.1013041,7,
42033,29,83,1222,155,2608,100,23,529,16,454,0,0,219.91,0,5,0,8,,,,2.233923479,67,1183,129,2576,86,18,454,15,404,0.277222,69.44,741.46,1,15,1,16,,,,3.861690728,10,2,1.0565011,8,
42034,30,42,1264,80,2688,83,10,539,9,463,0,0,219.91,0,5,0,8,,,,2.233987333,70,1253,128,2704,81,19,473,13,417,0.308421,107.03,848.49,1,16,1,17,,,,3.988148122,11,2.2,1.1147555,9,
42035,31,74,1338,214,2902,116,27,566,25,488,0,0,219.91,0,5,0,8,,,,2.234140831,89,1342,156,2860,107,26,499,20,437,0.019231,8,856.49,1,17,1,18,,,,4.110833376,12,2.4,0.9570175,10,
42036,32,96,1434,392,3294,116,55,621,44,532,0.031818,27,246.91,1,6,1,9,,,,2.447257861,110,1452,261,3121,168,63,562,54,491,0,0,856.49,0,17,0,18,,,,4.111861072,11,1.833333333,0.8568754,9,
